0,1,2,3,4,5,6,Cluster
2.9,190.0,126.0,14.2,15.8,37.0,0.661,2
2.8,178.0,120.0,12.7,15.9,37.2,0.6657,2
2.4,150.0,119.0,11.7,16.9,34.3,0.6549,2
3.9,206.0,149.0,19.3,15.1,39.6,0.6766,2
3.7,202.0,145.0,18.2,14.4,43.4,0.7084,2
6.6,340.0,170.0,32.6,12.9,50.5,0.7478,1
4.4,274.0,149.0,20.1,12.1,53.3,0.7536,1
3.5,253.0,139.0,14.3,11.0,59.1,0.774,1
5.4,300.0,134.0,21.8,9.7,64.6,0.7771,1
2.7,193.0,113.0,9.6,9.5,64.1,0.7597,2
1.9,139.0,97.0,7.4,9.1,63.9,0.7423,2
1.6,83.0,82.0,5.4,8.8,63.9,0.7256,2
1.7,180.0,109.0,5.4,7.8,67.5,0.7173,2
1.8,109.0,83.0,6.2,7.0,71.1,0.7158,2
1.0,62.0,65.0,2.6,8.3,63.6,0.6982,2
1.2,53.0,60.0,2.9,7.2,67.5,0.6887,2
1.5,139.0,77.0,5.1,6.3,71.9,0.6932,2
2.7,256.0,96.0,11.8,6.5,71.6,0.6945,2
3.7,295.0,119.0,15.1,9.6,59.7,0.7124,1
3.2,250.0,126.0,12.9,12.4,51.2,0.7335,2
4.1,296.0,158.0,16.1,15.6,42.2,0.7451,1
3.6,239.0,161.0,14.0,18.4,33.8,0.709,2
2.8,153.0,124.0,12.3,19.4,31.3,0.695,2
2.0,118.0,102.0,8.6,18.0,34.8,0.7127,2
2.0,119.0,116.0,9.2,18.4,33.6,0.7042,2
2.5,138.0,124.0,10.2,17.6,35.1,0.7012,2
2.3,148.0,125.0,10.6,16.7,37.8,0.7117,2
3.2,227.0,148.0,15.5,16.1,41.0,0.7451,2
4.2,277.0,165.0,19.6,15.8,42.4,0.7569,1
4.2,279.0,161.0,19.2,15.7,44.1,0.7786,1
4.2,283.0,159.0,18.3,15.3,46.8,0.8091,1
3.1,214.0,143.0,13.1,14.6,48.6,0.806,2
2.6,172.0,130.0,10.9,14.7,49.3,0.8193,2
2.9,190.0,129.0,11.0,13.9,53.6,0.8498,2
2.8,174.0,119.0,11.9,14.6,51.5,0.8536,2
2.5,128.0,104.0,8.6,12.5,58.9,0.8537,2
2.4,180.0,109.0,9.7,11.6,63.4,0.8674,2
1.8,70.0,82.0,5.2,12.1,61.1,0.8603,2
1.2,53.0,70.0,3.7,11.5,63.1,0.8533,2
1.0,44.0,63.0,2.5,11.6,62.2,0.8473,2
0.9,74.0,67.0,2.4,10.4,67.6,0.853,2
1.4,101.0,84.0,4.2,11.6,62.7,0.853,2
1.6,118.0,83.0,6.4,12.4,60.0,0.8627,2
2.2,144.0,98.0,8.6,14.5,53.1,0.8728,2
2.8,176.0,114.0,10.9,16.9,46.1,0.8789,2
2.8,161.0,119.0,10.7,19.3,38.3,0.8474,2
2.0,113.0,104.0,7.5,21.2,31.4,0.7812,2
1.8,103.0,102.0,7.5,21.4,30.2,0.7616,2
1.9,112.0,107.0,8.2,21.9,29.0,0.7525,2
3.0,170.0,129.0,11.9,22.2,28.4,0.7516,2
2.9,180.0,128.0,12.0,21.3,30.8,0.7696,2
2.5,160.0,121.0,12.2,19.7,36.7,0.8307,2
4.6,261.0,157.0,20.6,18.4,41.7,0.8732,1
5.9,325.0,173.0,23.1,17.6,46.1,0.921,1
3.4,217.0,146.0,14.7,16.7,49.6,0.932,2
2.1,146.0,121.0,9.0,16.3,51.0,0.9341,2
2.2,152.0,119.0,8.8,14.7,55.9,0.9314,2
1.8,104.0,99.0,7.4,14.8,54.7,0.9164,2
1.8,106.0,93.0,6.9,14.0,57.0,0.9094,2
1.8,108.0,88.0,7.0,13.4,61.3,0.9361,2
1.1,180.0,109.0,4.4,12.6,63.5,0.923,2
1.8,66.0,71.0,4.0,12.3,65.4,0.9351,2
1.0,88.0,74.0,3.9,11.9,67.4,0.9375,2
1.4,138.0,80.0,6.4,11.4,70.5,0.9475,2
2.2,228.0,89.0,9.7,11.3,70.2,0.9401,2
5.5,360.0,114.0,25.9,12.4,63.9,0.917,1
8.1,478.0,149.0,36.7,14.8,54.3,0.9076,1
5.8,394.0,157.0,26.6,17.4,45.6,0.8993,1
4.2,319.0,155.0,20.1,19.8,38.5,0.8801,1
3.1,201.0,134.0,14.1,22.0,34.1,0.8904,2
2.9,171.0,119.0,14.9,23.3,32.2,0.9096,2
2.9,159.0,111.0,15.4,23.9,30.0,0.8757,2
2.5,153.0,104.0,12.1,24.4,28.9,0.8736,2
2.3,143.0,99.0,11.5,24.4,29.4,0.8848,2
2.8,156.0,110.0,14.8,23.8,31.3,0.9137,2
6.1,314.0,162.0,32.1,22.5,35.4,0.9547,1
8.0,404.0,187.0,39.2,20.4,42.5,1.0086,1
6.5,320.0,165.0,31.0,18.3,52.6,1.0945,1
4.2,256.0,145.0,19.9,16.7,57.4,1.0786,1
3.2,193.0,125.0,15.3,15.7,60.2,1.0654,2
1.4,89.0,101.0,6.9,15.3,61.4,1.058,2
2.1,127.0,103.0,11.1,14.1,65.7,1.0494,2
1.2,79.0,88.0,5.4,14.8,60.6,1.0148,2
0.8,43.0,61.0,2.8,14.8,59.2,0.9879,2
0.7,180.0,109.0,2.3,13.6,62.1,0.9636,2
1.8,59.0,59.0,2.6,12.3,66.2,0.945,2
0.6,38.0,52.0,2.0,12.8,63.2,0.9283,2
0.9,82.0,64.0,3.5,11.2,68.5,0.9081,2
1.3,99.0,70.0,5.1,11.0,66.5,0.8705,2
3.4,263.0,97.0,16.2,11.7,63.7,0.8719,1
3.7,229.0,95.0,19.7,13.6,56.3,0.8743,2
5.3,396.0,150.0,25.1,17.8,42.9,0.8672,1
4.1,314.0,162.0,20.0,21.4,33.3,0.8417,1
3.3,217.0,154.0,18.3,24.4,27.4,0.8231,2
4.0,252.0,161.0,22.3,25.3,26.1,0.8264,1
3.8,263.0,161.0,20.4,25.8,23.2,0.7589,1
2.8,180.0,128.0,14.6,27.0,20.2,0.7094,2
2.9,184.0,129.0,16.6,28.2,18.6,0.7014,2
2.9,190.0,133.0,15.8,28.0,19.1,0.7098,2
3.4,184.0,139.0,17.8,23.9,25.7,0.7519,2
3.9,181.0,137.0,19.1,21.3,34.8,0.873,2
3.2,166.0,143.0,15.8,20.4,36.7,0.8704,2
5.1,317.0,177.0,24.9,19.0,41.3,0.9007,1
2.6,184.0,138.0,13.5,17.9,45.9,0.9342,2
1.7,130.0,117.0,9.1,16.7,48.9,0.9226,2
1.7,132.0,107.0,8.6,15.5,52.9,0.9271,2
1.2,95.0,90.0,5.4,15.5,51.9,0.9059,2
0.9,70.0,79.0,4.1,14.1,55.6,0.891,2
0.7,180.0,109.0,2.6,13.1,57.9,0.8666,2
1.8,54.0,60.0,1.9,12.7,57.9,0.8447,2
0.5,28.0,40.0,1.6,11.8,58.0,0.8026,2
0.5,46.0,53.0,1.9,11.9,57.4,0.7978,2
1.6,160.0,84.0,7.5,9.9,65.2,0.7956,2
4.1,320.0,108.0,21.4,11.1,60.2,0.7958,1
6.6,377.0,127.0,36.4,14.1,50.0,0.802,1
4.3,280.0,134.0,21.3,17.7,40.1,0.8048,1
2.9,221.0,135.0,15.4,21.1,33.4,0.8265,2
2.5,210.0,142.0,12.5,24.3,28.3,0.8471,2
2.8,204.0,153.0,15.1,25.6,25.6,0.8254,2
2.6,161.0,123.0,13.7,25.9,25.9,0.8503,2
2.0,135.0,104.0,10.4,26.8,18.7,0.65,2
2.9,186.0,129.0,15.2,29.3,15.8,0.6309,2
2.5,147.0,114.0,12.3,28.5,14.9,0.5708,2
5.0,299.0,158.0,27.0,25.9,16.0,0.5237,1
7.6,411.0,194.0,38.4,23.1,26.5,0.7403,1
6.7,347.0,182.0,35.1,20.5,38.2,0.9133,1
5.7,336.0,180.0,27.2,19.1,42.6,0.9294,1
2.8,202.0,136.0,15.0,17.2,44.1,0.8558,2
2.6,178.0,127.0,15.7,16.0,50.9,0.9206,2
2.3,154.0,116.0,13.0,14.8,53.9,0.9024,2
1.4,92.0,107.0,8.1,14.3,55.4,0.8975,2
1.0,61.0,88.0,5.5,14.8,52.1,0.8686,2
0.7,180.0,109.0,3.6,13.9,53.9,0.8501,2
1.8,60.0,78.0,2.9,11.6,61.9,0.8442,2
0.6,37.0,57.0,2.5,12.0,58.9,0.8233,2
0.7,68.0,71.0,3.0,10.9,62.1,0.8113,2
1.5,139.0,85.0,7.7,10.6,63.3,0.8067,2
4.7,339.0,124.0,23.3,11.5,60.0,0.8117,1
6.6,421.0,151.0,35.8,14.3,50.6,0.8186,1
4.5,349.0,150.0,21.3,17.8,40.5,0.821,1
2.8,224.0,152.0,14.3,20.8,34.4,0.8365,2
2.2,171.0,139.0,12.5,23.8,28.2,0.8219,2
2.2,149.0,133.0,12.2,24.2,28.7,0.8515,2
2.3,137.0,126.0,13.1,25.2,24.9,0.7829,2
2.2,149.0,128.0,14.4,27.0,17.8,0.6275,2
2.8,172.0,169.0,16.8,27.1,23.1,0.818,2
2.7,166.0,149.0,14.5,25.8,23.9,0.7832,2
3.7,214.0,156.0,21.5,23.0,26.8,0.7446,2
5.1,280.0,168.0,26.4,20.7,31.1,0.7523,1
5.1,276.0,176.0,26.0,18.6,36.2,0.7676,1
3.2,178.0,135.0,14.1,16.0,48.4,0.8768,2
2.1,129.0,121.0,10.3,14.5,57.8,0.9456,2
1.7,95.0,99.0,8.3,13.1,64.2,0.9606,2
2.0,126.0,106.0,8.9,12.0,69.7,0.9735,2
1.6,103.0,96.0,6.6,11.9,71.1,0.9915,2
0.9,48.0,63.0,3.6,12.5,69.3,1.0029,2
0.7,180.0,109.0,2.5,12.5,67.5,0.9768,2
1.8,20.0,32.0,1.8,12.3,67.7,0.9665,2
0.5,18.0,28.0,1.3,12.5,66.8,0.962,2
0.7,56.0,61.0,2.3,12.3,66.3,0.9487,2
1.5,115.0,99.0,6.7,12.4,64.9,0.9332,2
4.8,320.0,157.0,22.8,13.0,61.6,0.9209,1
6.2,357.0,166.0,31.3,13.6,58.8,0.912,1
4.0,253.0,149.0,19.2,13.9,57.1,0.9032,1
3.3,218.0,135.0,16.4,14.5,54.4,0.8917,2
2.8,192.0,127.0,14.0,15.5,50.1,0.8744,2
3.0,176.0,122.0,15.3,16.1,47.6,0.8655,2
3.3,198.0,135.0,16.7,16.3,47.1,0.864,2
3.5,212.0,139.0,19.0,16.4,47.5,0.8791,2
4.0,249.0,147.0,19.4,16.1,50.2,0.9094,1
4.6,270.0,158.0,20.9,16.0,50.7,0.9142,1
4.1,231.0,146.0,20.2,15.8,50.3,0.8989,2
4.5,251.0,144.0,21.7,15.5,50.6,0.884,1
3.9,210.0,138.0,19.8,15.4,51.4,0.8956,2
4.0,249.0,143.0,16.7,15.2,53.1,0.9117,1
2.2,143.0,116.0,9.1,14.7,57.6,0.9573,2
2.1,127.0,109.0,8.3,14.2,58.3,0.938,2
1.7,104.0,92.0,5.8,13.8,57.9,0.9085,2
1.6,86.0,83.0,5.2,13.9,55.9,0.8842,2
1.3,74.0,81.0,4.1,13.9,55.6,0.8765,2
1.3,180.0,109.0,3.4,13.8,55.1,0.8666,2
1.8,44.0,55.0,2.9,13.8,54.6,0.8574,2
0.8,42.0,53.0,3.1,13.6,55.1,0.856,2
0.8,63.0,67.0,2.5,13.6,59.0,0.9129,2
1.1,115.0,91.0,4.3,13.5,58.4,0.896,2
2.1,170.0,113.0,8.9,13.8,58.0,0.9083,2
2.4,147.0,102.0,10.5,14.6,53.1,0.8765,2
2.6,166.0,107.0,12.5,15.0,52.3,0.8881,2
2.8,195.0,113.0,12.3,15.4,52.1,0.9046,2
2.6,182.0,108.0,11.7,16.3,50.0,0.9158,2
2.6,168.0,105.0,11.7,17.1,47.9,0.9281,2
2.1,125.0,93.0,9.3,19.0,42.9,0.937,2
1.7,95.0,87.0,7.6,19.5,42.3,0.9476,2
1.6,79.0,76.0,6.7,19.5,42.3,0.9493,2
2.1,119.0,94.0,9.7,19.1,43.8,0.9556,2
2.3,142.0,110.0,12.4,18.5,46.3,0.9744,2
3.5,215.0,136.0,16.6,17.4,51.6,1.0159,2
3.9,229.0,139.0,16.4,17.1,51.3,0.9914,2
3.3,206.0,125.0,13.7,16.4,53.8,0.9964,2
2.3,147.0,111.0,9.9,16.2,55.4,1.0132,2
2.1,122.0,97.0,8.9,15.9,57.7,1.0356,2
2.8,175.0,107.0,10.6,15.7,58.6,1.0396,2
2.1,133.0,90.0,7.4,15.1,60.9,1.0398,2
1.6,89.0,84.0,6.2,15.6,56.6,0.9951,2
1.6,180.0,109.0,6.5,15.2,57.9,0.9941,2
1.8,85.0,87.0,5.8,15.4,57.8,1.0021,2
1.1,55.0,66.0,4.0,14.9,60.6,1.0196,2
0.7,24.0,36.0,2.1,14.5,63.0,1.0316,2
0.8,72.0,62.0,3.6,14.2,66.2,1.063,2
1.2,122.0,91.0,4.4,14.5,65.3,1.0704,2
1.4,111.0,89.0,5.4,15.3,62.1,1.073,2
1.7,123.0,93.0,7.1,16.3,59.0,1.0868,2
1.8,106.0,81.0,7.3,18.9,49.6,1.07,2
1.8,103.0,82.0,7.6,19.4,46.1,1.0249,2
1.9,102.0,80.0,6.8,20.8,41.6,1.0091,2
1.3,48.0,48.0,4.6,21.4,40.3,1.0126,2
1.6,63.0,61.0,8.4,21.2,39.3,0.9791,2
1.9,98.0,89.0,6.9,20.3,38.0,0.8942,2
2.3,132.0,105.0,9.0,19.4,41.3,0.9206,2
3.8,173.0,116.0,15.1,18.5,43.8,0.9252,2
3.5,185.0,119.0,12.6,17.8,48.1,0.9689,2
4.3,266.0,144.0,15.1,17.9,46.9,0.952,1
2.8,188.0,123.0,9.9,17.4,49.1,0.9688,2
1.9,122.0,105.0,8.0,17.0,51.7,0.9914,2
1.9,112.0,93.0,7.9,16.4,55.1,1.0198,2
1.7,93.0,86.0,6.1,16.1,60.0,1.0919,2
1.5,74.0,76.0,5.1,15.8,60.5,1.0805,2
0.6,23.0,33.0,1.7,16.3,57.0,1.0491,2
0.4,180.0,109.0,0.7,16.9,53.9,1.0309,2
1.8,17.0,27.0,0.8,16.1,55.9,1.0153,2
0.3,15.0,23.0,0.7,16.5,53.9,1.0049,2
0.6,41.0,46.0,2.0,16.4,54.0,0.9979,2
1.2,86.0,76.0,5.1,15.7,57.6,1.0195,2
3.6,226.0,116.0,17.7,15.8,53.7,0.9571,2
3.7,214.0,115.0,18.4,17.4,42.1,0.8281,2
1.8,115.0,83.0,6.9,17.9,38.4,0.7793,2
1.6,124.0,87.0,7.3,18.5,36.7,0.7764,2
1.9,122.0,90.0,9.6,21.0,29.6,0.7263,2
2.0,107.0,87.0,10.4,21.3,28.1,0.7067,2
2.2,133.0,99.0,11.2,21.3,26.1,0.6539,2
2.1,130.0,99.0,10.7,21.3,26.8,0.6681,2
2.3,150.0,101.0,11.6,21.3,24.2,0.606,2
2.6,138.0,103.0,12.4,20.2,28.5,0.6682,2
3.8,213.0,129.0,18.3,17.0,43.1,0.8264,2
4.4,232.0,143.0,21.0,15.6,47.4,0.8347,2
4.5,238.0,146.0,21.0,15.3,47.4,0.8178,2
3.3,180.0,124.0,14.5,14.5,49.7,0.8177,2
2.0,128.0,113.0,8.4,13.9,52.0,0.8231,2
1.1,65.0,80.0,4.3,14.5,49.4,0.8106,2
0.9,53.0,72.0,3.8,13.8,51.4,0.8071,2
0.8,47.0,64.0,2.7,14.0,51.3,0.8163,2
0.7,51.0,70.0,2.5,13.0,56.8,0.8444,2
0.5,180.0,109.0,1.2,11.0,70.0,0.9215,2
1.8,20.0,31.0,0.8,10.1,76.8,0.9483,2
0.3,13.0,22.0,0.6,8.8,80.5,0.9147,2
0.5,33.0,47.0,1.8,9.6,75.4,0.9004,2
1.1,103.0,88.0,4.6,9.8,75.0,0.9093,2
3.0,224.0,130.0,14.2,10.0,74.2,0.9117,2
3.8,244.0,132.0,21.0,11.2,69.7,0.9232,2
3.4,237.0,132.0,16.2,12.0,62.9,0.8803,2
3.0,220.0,131.0,15.5,12.8,55.8,0.821,2
2.7,207.0,129.0,13.4,13.1,54.8,0.8234,2
3.5,208.0,132.0,16.9,13.8,53.4,0.8351,2
2.8,160.0,110.0,12.4,16.0,42.4,0.7674,2
1.9,131.0,99.0,10.1,14.1,49.8,0.7971,2
2.0,128.0,100.0,8.7,12.0,61.1,0.8537,2
3.0,176.0,122.0,13.8,13.6,54.6,0.8465,2
1.9,107.0,97.0,9.3,13.7,49.5,0.7695,2
2.7,131.0,112.0,13.0,11.7,57.1,0.7822,2
3.3,166.0,128.0,14.3,11.5,58.2,0.7867,2
1.7,89.0,101.0,7.6,12.6,54.2,0.7881,2
1.3,81.0,96.0,5.3,12.0,54.9,0.7664,2
1.3,78.0,86.0,5.4,11.0,61.4,0.8057,2
1.2,70.0,85.0,4.9,11.1,62.2,0.8199,2
1.1,76.0,79.0,4.6,10.8,62.5,0.8082,2
0.9,43.0,61.0,2.7,11.3,60.0,0.8025,2
0.6,180.0,109.0,1.6,10.6,61.6,0.7856,2
1.8,44.0,66.0,1.7,10.2,62.7,0.7813,2
0.6,34.0,54.0,1.2,10.9,58.6,0.7628,2
0.8,43.0,57.0,1.7,10.8,57.2,0.7382,2
1.2,79.0,75.0,4.8,10.4,59.2,0.7455,2
3.1,174.0,97.0,13.8,11.0,57.3,0.7501,2
4.4,235.0,110.0,23.7,11.2,56.9,0.7565,2
3.4,218.0,113.0,14.2,12.1,54.9,0.7734,2
1.7,136.0,88.0,8.0,15.1,44.3,0.7535,2
1.5,117.0,85.0,6.7,15.6,40.6,0.7146,2
1.7,119.0,96.0,8.7,16.9,34.6,0.6597,2
2.2,126.0,106.0,10.8,16.6,35.6,0.6697,2
1.8,100.0,91.0,6.7,11.3,63.9,0.8554,2
2.7,197.0,126.0,11.4,9.6,81.1,0.972,2
2.8,195.0,130.0,13.4,11.7,69.1,0.9497,2
2.7,156.0,111.0,12.0,10.7,68.5,0.8794,2
4.5,247.0,134.0,20.2,10.7,67.3,0.8643,2
3.5,190.0,136.0,14.4,10.8,65.7,0.8486,2
2.6,169.0,125.0,9.4,10.3,66.3,0.8336,2
1.7,118.0,108.0,5.9,10.1,66.9,0.8248,2
1.3,81.0,87.0,4.5,10.4,61.1,0.7717,2
1.3,80.0,89.0,4.5,10.3,59.9,0.7516,2
1.0,42.0,58.0,2.5,11.0,58.4,0.7686,2
0.7,38.0,54.0,1.8,9.1,68.1,0.789,2
0.7,180.0,109.0,1.4,9.5,68.2,0.8091,2
0.5,18.0,28.0,0.9,9.3,72.3,0.8496,2
0.5,12.0,20.0,0.6,9.9,66.8,0.8152,2
0.6,43.0,51.0,1.4,7.6,83.2,0.8695,2
1.1,84.0,82.0,3.8,8.1,79.0,0.8544,2
2.7,184.0,112.0,11.6,8.7,74.6,0.8429,2
3.5,202.0,119.0,17.8,8.6,75.1,0.8415,2
2.3,133.0,99.0,8.8,9.7,69.7,0.8389,2
1.6,130.0,98.0,6.8,11.0,64.4,0.8447,2
1.3,106.0,88.0,5.9,13.6,53.0,0.8209,2
2.0,132.0,96.0,8.9,14.2,48.4,0.778,2
1.9,106.0,81.0,8.2,14.2,46.3,0.7438,2
1.9,125.0,92.0,8.6,16.0,41.3,0.7462,2
2.2,138.0,105.0,10.1,17.7,35.4,0.7094,2
2.0,120.0,88.0,9.4,17.1,37.4,0.7225,2
2.9,158.0,103.0,14.6,14.9,40.5,0.6835,2
5.2,253.0,141.0,24.6,13.4,47.8,0.7293,1
4.6,231.0,133.0,21.6,12.6,52.5,0.7642,2
2.5,150.0,119.0,10.3,12.2,53.2,0.7555,2
1.5,99.0,106.0,5.7,10.6,56.1,0.714,2
1.2,75.0,92.0,4.5,9.9,59.5,0.7276,2
1.7,93.0,97.0,5.5,9.6,61.1,0.7323,2
1.4,79.0,91.0,4.8,9.7,61.6,0.7425,2
1.2,67.0,83.0,3.6,9.4,62.6,0.7398,2
0.6,180.0,109.0,1.7,8.2,68.5,0.7455,2
0.7,45.0,59.0,2.2,8.0,69.4,0.7459,2
0.8,72.0,73.0,3.0,7.7,72.4,0.7655,2
0.9,103.0,78.0,4.0,8.0,71.8,0.7711,2
1.6,132.0,90.0,6.7,8.5,66.3,0.7375,2
3.4,239.0,110.0,16.7,9.8,59.6,0.7214,2
3.8,275.0,114.0,19.3,11.2,57.0,0.7544,1
3.1,232.0,119.0,14.8,14.8,44.1,0.7407,2
2.7,180.0,121.0,13.4,16.8,35.3,0.6729,2
2.0,112.0,97.0,11.0,19.2,27.1,0.5976,2
2.3,116.0,99.0,12.5,19.1,26.2,0.5741,2
1.9,103.0,85.0,8.4,16.3,30.8,0.5683,2
1.3,89.0,75.0,5.3,14.2,36.8,0.5922,2
1.9,112.0,87.0,8.8,13.4,41.0,0.6292,2
2.3,127.0,102.0,11.2,14.2,43.3,0.6982,2
2.4,125.0,105.0,11.6,12.1,45.6,0.6403,2
2.7,120.0,98.0,12.4,10.4,48.0,0.6046,2
2.6,120.0,93.0,10.6,10.0,51.1,0.628,2
1.5,99.0,91.0,6.0,9.8,50.8,0.6172,2
1.2,79.0,85.0,4.6,9.7,50.4,0.6063,2
1.1,66.0,74.0,4.1,9.9,50.2,0.6103,2
1.5,94.0,87.0,5.2,9.4,53.4,0.63,2
1.0,70.0,79.0,3.2,8.6,57.8,0.6488,2
1.2,75.0,78.0,4.5,8.1,62.1,0.6746,2
1.1,180.0,109.0,3.8,7.9,63.5,0.6777,2
1.8,57.0,63.0,3.8,7.4,64.8,0.6683,2
0.8,32.0,48.0,1.9,8.2,58.9,0.6444,2
0.9,54.0,59.0,2.4,6.3,66.6,0.641,2
1.1,68.0,65.0,3.3,7.2,62.9,0.6396,2
1.5,98.0,71.0,6.7,7.2,63.9,0.65,2
1.8,128.0,84.0,8.5,11.1,50.5,0.6654,2
2.1,129.0,93.0,9.7,15.5,36.1,0.6313,2
2.1,130.0,99.0,9.4,17.8,29.2,0.592,2
1.9,111.0,93.0,9.0,17.6,30.1,0.6013,2
2.1,106.0,96.0,10.0,19.1,26.8,0.5861,2
2.5,137.0,114.0,12.6,17.7,28.6,0.5735,2
1.9,113.0,101.0,7.6,17.8,28.4,0.5737,2
2.2,122.0,108.0,11.8,18.7,26.0,0.5555,2
2.3,137.0,117.0,11.2,17.1,31.3,0.6038,2
2.7,165.0,125.0,12.4,15.8,36.1,0.644,2
3.0,196.0,133.0,12.9,14.7,40.1,0.6657,2
2.8,174.0,119.0,12.2,13.6,44.9,0.6991,2
2.2,140.0,107.0,8.8,12.5,48.1,0.6946,2
1.6,102.0,96.0,6.8,11.8,50.8,0.7042,2
2.1,130.0,105.0,8.6,10.9,56.1,0.7326,2
2.3,121.0,102.0,8.9,10.9,55.9,0.7277,2
2.3,111.0,97.0,8.3,10.3,58.1,0.7278,2
1.7,87.0,79.0,6.3,9.3,62.2,0.7294,2
2.2,180.0,109.0,8.3,8.2,66.7,0.7276,2
1.3,77.0,69.0,5.1,8.3,64.9,0.7124,2
0.8,39.0,52.0,2.6,9.6,58.5,0.7,2
1.1,77.0,62.0,3.6,7.7,66.4,0.699,2
1.4,91.0,69.0,3.6,7.4,68.0,0.7043,2
1.3,105.0,75.0,4.7,9.7,58.6,0.7035,2
1.9,133.0,83.0,7.5,12.5,50.1,0.7242,2
2.3,128.0,94.0,9.0,16.8,36.9,0.7018,2
2.3,126.0,96.0,9.5,19.2,31.3,0.6887,2
1.8,92.0,86.0,7.7,21.3,26.4,0.6607,2
1.4,66.0,72.0,5.7,21.2,23.1,0.5768,2
1.0,50.0,53.0,3.8,18.6,25.0,0.5319,2
1.4,70.0,65.0,4.8,18.0,27.3,0.5594,2
1.3,73.0,70.0,4.3,18.2,28.3,0.5848,2
1.3,77.0,75.0,4.1,17.0,31.4,0.6048,2
1.4,86.0,86.0,4.7,15.6,35.0,0.617,2
1.9,93.0,94.0,6.2,14.1,40.2,0.6438,2
1.8,105.0,103.0,5.5,13.4,43.2,0.6623,2
1.1,67.0,81.0,3.3,12.3,46.8,0.6686,2
1.1,63.0,80.0,3.2,11.9,46.5,0.6449,2
1.1,63.0,77.0,2.9,11.5,46.6,0.6319,2
0.9,46.0,58.0,2.2,10.6,48.0,0.6135,2
0.6,21.0,31.0,1.3,10.7,45.8,0.5895,2
0.5,22.0,38.0,1.1,10.4,46.6,0.5901,2
0.7,180.0,109.0,1.3,10.1,47.8,0.5913,2
0.6,39.0,59.0,1.2,11.3,46.9,0.628,2
0.7,55.0,70.0,1.7,10.1,51.2,0.6341,2
0.9,76.0,75.0,2.9,9.9,50.7,0.6167,2
2.9,181.0,103.0,14.3,8.1,56.8,0.615,2
4.1,259.0,134.0,19.7,10.9,44.1,0.5748,1
1.5,118.0,98.0,5.5,11.8,37.6,0.5184,2
1.5,119.0,97.0,5.6,13.9,33.2,0.5222,2
1.5,123.0,98.0,5.8,15.6,30.1,0.5285,2
1.4,92.0,78.0,5.5,16.5,29.0,0.5406,2
1.6,91.0,83.0,6.5,17.5,27.9,0.5517,2
