N,P,K,temperature,humidity,ph,rainfall,actual_label,predicted_label
109,26,45,28.27973674,90.38971208,6.224535448999998,21.58992507,muskmelon,apple
23,37,24,28.77833449,44.2252605,7.991902443,33.95825723,mothbeans,apple
28,27,34,32.45465292,50.69693751,6.526654345,95.04871605,mango,apple
1,30,29,28.33333307,51.39586505,6.4341977560000005,91.67241761,mango,apple
30,60,21,28.87667593,62.4901206,5.457871272999999,182.2688175,pigeonpeas,apple
51,57,55,24.70528368,90.14732171,6.6764073370000006,108.4103158,papaya,apple
23,21,26,26.45488737,93.45042636,5.901495543999999,149.2220255,coconut,apple
36,44,21,25.12528913,51.33189406,4.516154055,38.48678973,mothbeans,apple
101,33,33,26.97251562,62.0183627,6.908671378999999,142.8610793,coffee,apple
118,40,35,26.35034208,58.50650238,7.460174812000001,121.5586297,coffee,apple
37,135,205,11.82768186,80.2827185,5.510924848999999,74.10225057,grapes,apple
7,60,25,28.2753171,82.76020821,6.397636709,56.04995423,mungbean,apple
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,apple
30,30,35,25.00872392,95.59224018,6.001936419,165.8092179,coconut,apple
27,43,23,31.70447482,56.85420099,5.875333778,44.94317432,mothbeans,apple
80,15,28,23.11438731,68.00096043,6.703270635,161.8944624,coffee,apple
4,46,15,31.01274943,62.40392519,3.504752314,63.77192383,mothbeans,apple
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize,apple
93,26,27,24.59245684,56.46829641,7.288211994,137.70440469999997,coffee,apple
7,56,18,18.31357543,24.32991649,5.698371311,76.14153904,kidneybeans,apple
86,39,43,26.14576648,71.23690851,6.432051512,193.1007598,jute,apple
85,9,53,28.20619412,92.86798698,6.447662945,28.78654515,muskmelon,apple
6,142,202,27.23708304,82.94573346,6.224542938,70.42508897,grapes,apple
93,94,53,25.86632408,84.42379269,6.079178787999999,114.5357503,banana,apple
40,17,15,21.35093384,90.9492967,7.871063004,107.0862095,orange,apple
0,12,7,20.18432263,90.65458473,6.969249676,116.8130969,orange,apple
44,55,25,29.6321052,65.91359954,7.42160832,71.16331975,blackgram,apple
120,20,45,25.66576039,88.6984228,6.114128685,54.22722466,watermelon,apple
52,73,79,17.25769499,18.74943955,7.840339388999999,94.00287214,chickpea,apple
15,14,8,10.01081312,90.22399223,6.22094286,119.3941064,orange,apple
31,76,82,20.8248451,17.85057083,7.599279991,79.20509212,chickpea,apple
10,59,15,29.83040388,89.30428305,6.32400451,58.86687093,mungbean,apple
105,93,46,25.01018457,78.76260938,5.760457558,108.3690513,banana,apple
109,36,18,25.40059227,76.53237965,7.524707577,62.51388670000001,cotton,apple
43,64,47,38.58954491,91.58076549,6.8256647820000005,102.2708231,papaya,apple
16,18,26,28.43647052,91.81320717,5.568365926,145.54144130000003,coconut,apple
117,26,30,27.92374437,67.96910852,7.079850922,115.2325531,coffee,apple
18,9,40,19.44623085,89.02127045,5.627186257000001,106.1606833,pomegranate,apple
88,29,51,24.71885473,88.94568335,6.095689937,48.45978627,watermelon,apple
92,75,45,29.01207743,77.95192527,5.674403358999999,90.43495443,banana,apple
17,58,25,31.12896766,43.58788762,6.455592696,32.76742894,mothbeans,apple
7,17,10,10.16431299,91.22320999,6.465913274,106.362551,orange,apple
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,apple
24,18,6,26.56608303,94.45239715,6.285312759,116.3796525,orange,apple
5,45,21,28.36291385,88.00989267,6.487124217000001,43.05130077,mungbean,apple
19,7,10,14.78003032,91.22062116,6.118430299,100.1961762,orange,apple
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,apple
34,71,79,17.927806,15.85622899,7.728998197,74.63872762,chickpea,apple
13,144,204,30.7280404,82.42614055,6.092241627000001,68.38135469,grapes,apple
25,51,24,25.5042419,61.66852372,9.392694614,65.07981523,mothbeans,apple
83,38,35,25.70822684,52.88667115,7.18915558,136.73250919999998,coffee,apple
38,19,31,34.73823882,49.08864345,5.855119267999999,90.65022183,mango,apple
131,49,22,25.49848236,79.9751579,7.306918817000001,67.05961949,cotton,apple
21,63,22,25.09737391,67.72837887,6.859409487000001,74.61649888,blackgram,apple
31,36,29,33.93679864,52.72170281,6.460542749,97.4611918,mango,apple
19,35,24,27.11030369,83.64274107,6.883308033,49.11964582,mungbean,apple
50,47,48,24.63676897,90.61964344,6.712772332999999,218.2299187,papaya,apple
70,36,42,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice,apple
11,36,33,35.99009679,52.22780489,5.978634285,95.3713484,mango,apple
82,23,49,26.81383586,87.21986949,6.873283991,51.70497792,watermelon,apple
35,38,19,25.32688786,63.18180319,9.112771682,32.71129281,mothbeans,apple
32,41,16,28.63618921,61.39451307,7.702287236,68.54877876,mothbeans,apple
98,43,35,25.40785911,76.44048625,7.319952206,188.6372826,jute,apple
26,67,24,36.97794384,37.73992903,5.642813116,161.48129630000005,pigeonpeas,apple
23,59,25,27.826262300000003,88.73100226,6.320768488,56.68833819,mungbean,apple
105,30,50,25.29954705,81.77527562,6.37620108,57.04147057,watermelon,apple
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize,apple
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,apple
74,46,45,25.75734909,88.36668522,6.025028997000001,189.4263485,jute,apple
28,35,22,29.53037621,86.73346018,7.156563094,59.87232071,mungbean,apple
39,16,27,35.53845018,52.94641947,4.934964765,91.54560427,mango,apple
107,42,24,22.04612876,84.62978302,6.144631795,86.00758678,cotton,apple
111,5,47,28.03306461,91.47355778,6.2744528110000015,21.17924769,muskmelon,apple
39,64,53,23.012401800000006,91.07355541,6.598860305,208.3357976,papaya,apple
83,79,55,25.14748006,83.34688193,5.565028635,98.66679427,banana,apple
31,51,25,27.53592929,85.57019009999998,7.196774236,53.01899249,mungbean,apple
112,17,28,27.62975458,61.26002598,6.777417989,196.6492664,coffee,apple
84,38,43,26.57421679,73.81994896,7.26158085,159.3223075,jute,apple
13,72,21,24.32116642,21.0278674,5.821194486,60.27552528,kidneybeans,apple
17,73,18,19.50112224,34.51086611,5.632353113,197.3752649,pigeonpeas,apple
21,62,24,33.49077065,62.73317204,6.8473828910000005,65.45328463,blackgram,apple
103,72,51,26.12643374,81.81365007,6.099478745,104.4812858,banana,apple
13,8,12,25.16296632,92.54736032,7.105904818,114.3117197,orange,apple
106,40,30,23.42611644,64.10651528,6.779984384,122.6847408,coffee,apple
81,16,45,26.90435747,86.25426228,6.727468157000001,59.75980023,watermelon,apple
33,31,34,31.32995611,50.22287593,5.421265282999999,89.78216168,mango,apple
83,7,45,29.08417927,90.73891887,6.704104127000001,25.33014238,muskmelon,apple
20,72,19,32.47648301,64.34848735,7.397190844,65.82045699999999,blackgram,apple
89,53,44,24.88692811,71.91711523,7.319735475,150.2498675,jute,apple
30,37,25,29.89129144,80.14487166,7.120032489,54.7960127,mungbean,apple
35,140,197,16.77557314,82.75241875,6.106190557000001,66.76285469,grapes,apple
34,76,80,20.65691793,15.84572566,7.985417393,65.23811143,chickpea,apple
113,33,34,26.00373964,62.144510200000006,6.559817161000002,153.477776,coffee,apple
39,52,53,32.51247398,94.65904123,6.704204398,51.07048113,papaya,apple
96,18,50,25.3310446,84.30533791,6.904241707000001,41.53218699,watermelon,apple
24,37,21,30.573999,58.22686794,5.818219385,62.74803826,mothbeans,apple
65,60,22,25.36768364,72.52054555,6.6069840860000015,107.9124111,maize,apple
29,25,35,28.3575072,91.64509299,5.542873799,160.73069909999995,coconut,apple
91,75,55,27.48612983,76.11239849,6.212369363,109.2768851,banana,apple
2,38,33,32.38697531,53.2328243,4.691396195,90.21633216,mango,apple
22,60,24,18.78226261,20.24768314,5.630664753,104.2570723,kidneybeans,apple
4,20,25,28.93270187,47.94053996,5.664587011,99.9834242,mango,apple
34,34,35,27.27433181,47.16808054,6.422710539,95.257992,mango,apple
10,24,27,27.57283516,94.90485697,5.7084096010000005,145.9298935,coconut,apple
111,88,55,29.44795403,78.34971537,5.505393832999999,96.45042585,banana,apple
99,5,47,24.13078816,84.84494575,6.649086972,51.19470197,watermelon,apple
85,89,51,29.21144871,84.70189923,6.1581644220000005,108.5501443,banana,apple
77,55,43,25.49941707,75.99987588,6.663559451,193.71418280000003,jute,apple
99,15,27,27.41711238,56.63636248,6.086922359,127.92461000000002,coffee,apple
25,76,17,31.74105409,68.63525428,7.241148507,62.3061735,blackgram,apple
131,56,20,22.00817088,81.83896111,7.762647875,92.23645249,cotton,apple
30,44,16,29.73013036,82.89166381,6.442335592999999,50.91511275,mungbean,apple
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,apple
26,68,24,28.04849594,64.07691942,7.504930973,37.15824966,lentil,apple
87,25,46,27.42711692,90.02696201,6.379690748,21.7508774,muskmelon,apple
115,9,52,29.06785065,90.97685539,6.019372459,29.1194739,muskmelon,apple
63,58,47,26.83054058,90.75379971,6.864143752,144.66564440000005,papaya,apple
38,141,198,13.05809741,80.28297993,5.757009965,70.75633584,grapes,apple
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,apple
22,60,85,18.8392908,14.74071856,7.811997977000001,94.78189594,chickpea,apple
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice,apple
11,14,5,11.50322938,94.8933184,6.946354724,115.56837759999998,orange,apple
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,pigeonpeas,apple
25,21,11,32.23797837,90.15406807,6.460044777999999,104.7052254,orange,apple
0,65,15,23.46168338,23.22197648,5.645435626,95.84253438,kidneybeans,apple
39,17,45,18.09691127,90.42177379,6.9244907310000015,104.88188999999998,pomegranate,apple
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,apple
29,8,28,26.87037587,91.72546257,6.100429497,214.4128874,coconut,apple
104,26,30,24.40726724,62.65692638,6.410992833,148.6977358,coffee,apple
32,120,204,10.38004759,83.44518113,6.138958698,67.39173790000001,grapes,apple
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,pigeonpeas,apple
29,35,28,28.347161100000005,53.53903102,6.9674177660000005,90.40260445,mango,apple
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize,apple
0,5,36,24.35193812,90.88612388,6.152906502,105.529185,pomegranate,apple
44,56,49,39.23342464,91.25589286,6.519779582999999,64.4478499,papaya,apple
82,40,45,26.21312799,81.70476368,6.667633355,180.1237765,jute,apple
102,73,52,27.9122104,83.36307683,6.356090905,90.24211529,banana,apple
7,74,17,22.47253208,62.56532471,5.667419697000001,96.74706956,pigeonpeas,apple
19,51,25,26.80474415,48.23991436,3.5253661,43.87801983,mothbeans,apple
33,120,205,35.12158265,82.26890793,5.550832177999999,69.71518491,grapes,apple
40,79,17,21.12695586,63.18738532,6.403683619,38.71834464,lentil,apple
22,68,16,27.70496805,63.20915034,7.74672376,37.46160727,lentil,apple
103,16,49,24.06731461,81.64075303,6.915717008,51.75212401,watermelon,apple
40,5,32,26.07010807,96.7036223,5.981169595,143.533473,coconut,apple
57,60,84,19.1034283,17.26184541,6.586777189,75.49101167,chickpea,apple
33,75,21,33.04687968,68.93875631,6.690655045,62.30278274,blackgram,apple
45,47,55,38.4191628,91.14220381,6.751452932,119.2653877,papaya,apple
7,20,12,16.53460397,94.76759975,6.475275337,110.0447896,orange,apple
63,37,43,23.41798979,85.08640476,6.661957897000001,185.7446728,jute,apple
6,139,199,25.67385024,81.6212135,6.29099842,74.10919422,grapes,apple
33,59,19,23.19305333,62.74710773,7.641024177,49.55213308,lentil,apple
10,79,20,24.98287462,66.895409,6.379881442,38.21370568,lentil,apple
107,12,46,29.57240298,93.61870344,6.559763394,27.56918621,muskmelon,apple
119,5,55,29.68846716,94.30111601,6.168757984,26.83924845,muskmelon,apple
32,55,52,37.58899717,91.99740365,6.967759599999999,159.6577388,papaya,apple
37,65,16,22.8352024,18.97267518,5.683548308,63.59276673,kidneybeans,apple
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,apple
20,73,22,16.03768615,22.33195853,5.976312537999999,130.3900798,kidneybeans,apple
58,75,25,25.25596239,61.36669662,7.261791753,68.64685069,blackgram,apple
23,24,32,28.1218093,46.16888595,5.630619901,93.30247448,mango,apple
14,23,25,26.18552389,96.96637916,5.6121227970000005,135.4186222,coconut,apple
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea,apple
35,57,25,27.0956288,42.26206161,8.340398059,71.12710390000002,mothbeans,apple
19,38,26,31.48451729,48.77926304,4.525722333,93.17221967,mango,apple
10,75,17,18.43966037,68.05394959,7.732194787999999,39.00992137,lentil,apple
23,5,44,21.20725375,94.26304717,7.16300467,107.5660804,pomegranate,apple
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,apple
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,blackgram,apple
39,65,23,25.43459777,69.12613376,7.685959305,41.02682925,lentil,apple
11,71,24,21.14011423,22.7182355,5.6066203460000015,141.6056722,kidneybeans,apple
27,74,20,24.69487673,59.96669215,5.8598134160000015,91.95792434,pigeonpeas,apple
39,127,202,15.3246651,81.67215994,6.477768039,71.60102999,grapes,apple
134,52,18,23.9643129,76.59175937,7.994679507000001,76.13090645,cotton,apple
44,64,54,29.80744318,91.38048469,6.74274935,232.7046126,papaya,apple
58,66,79,20.99373558,19.33470387,8.718192847000001,93.55280105,chickpea,apple
32,57,18,15.53834801,23.75560241,5.695422862999999,107.3850593,kidneybeans,apple
44,76,22,27.26458947,68.01232937,7.775306272000001,68.91754359,blackgram,apple
9,17,32,25.94951662,93.40548703,5.842317989,172.0540491,coconut,apple
126,38,23,25.36243778,83.63276077,6.176716425,88.43618918,cotton,apple
113,85,45,27.94972463,76.63713353,6.037430836,109.0921631,banana,apple
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,chickpea,apple
35,67,49,41.31330062,91.1508798,6.617066674,239.7427554,papaya,apple
31,13,33,29.69952329,95.21224392,6.342463714,148.30036919999995,coconut,apple
6,68,18,24.388717,62.50453062,6.711341147000001,47.26052494,lentil,apple
27,56,22,19.91853092,20.70099804,5.833010957999999,108.6434544,kidneybeans,apple
114,8,52,29.34081108,94.5513539,6.419083092,28.22908103,muskmelon,apple
2,24,34,28.89409382,54.80750249,6.472774648,94.76322976,mango,apple
83,95,50,26.51682337,77.79913575,5.50947065,108.8547508,banana,apple
112,54,15,25.46228792,81.56641891,6.1754923060000015,76.88582484,cotton,apple
36,7,37,19.8671184,86.35590206,5.782435567,108.3168858,pomegranate,apple
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize,apple
85,95,47,25.94019018,78.3422098,6.211833161,119.84797,banana,apple
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,grapes,apple
21,51,15,29.36488409,89.1886954,6.679127482,48.30159325,mungbean,apple
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,apple
8,6,33,28.27804288,93.64761266,6.095261012999999,171.9457959,coconut,apple
30,120,200,38.06099482,82.24729637,6.234904253,65.70148216,grapes,apple
14,59,22,23.82723528,67.89815262,6.76660668,46.90725077,lentil,apple
102,46,19,22.77076388,82.5993307,6.631005298,81.49543437,cotton,apple
14,76,20,29.05941162,62.10652364,7.042474679,36.5011366,lentil,apple
40,59,23,36.89163721,62.73178224,5.269084669,163.7266551,pigeonpeas,apple
121,47,16,23.60564038,79.29573149,7.7232401510000015,72.49800885,cotton,apple
9,59,25,30.39321309,60.16299493,7.699200949,35.37493212,mothbeans,apple
17,67,18,31.2192752,56.46868874,5.611510977000001,129.20286529999998,pigeonpeas,apple
92,21,48,25.81692236,82.043255,6.377427122,54.82963379,watermelon,apple
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,chickpea,apple
25,57,24,27.65472156,58.59986279,6.974978386,36.94255012,mothbeans,apple
20,45,22,29.5888162,89.9939693,6.904587016,54.96121262,mungbean,apple
84,39,35,23.17714381,52.13864034,6.959404135,117.3113562,coffee,apple
48,57,54,29.02328049,90.20396783,6.617703177999999,126.8069869,papaya,apple
24,61,17,22.6371424,65.44544859,6.233269045,38.30411077,lentil,apple
83,21,28,25.5674832,60.49244602,7.466900682999999,190.2257843,coffee,apple
23,142,197,39.06555518,82.03812973,6.000573725,69.30772897,grapes,apple
23,59,19,21.98560799,24.87304788,5.852046999,129.5650601,kidneybeans,apple
69,66,49,40.00439101,90.17015833,6.52711001,92.11877372,papaya,apple
31,25,12,18.05142392,90.03969587,7.016482298,111.7793889,orange,apple
102,73,54,26.4020227,84.41007614,5.720726906,111.0162259,banana,apple
4,18,37,22.91843172,85.40695044,7.13147457,106.2817706,pomegranate,apple
26,24,34,31.27180992,52.23810152,6.811291098,89.74409017,mango,apple
11,132,197,15.99050693,81.23966573,5.7343170070000005,74.40198861,grapes,apple
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea,apple
26,51,25,28.76488954,52.62741529,7.792508067999999,55.21606732,mothbeans,apple
18,23,8,21.49118657,93.43949693,6.41354791,101.4819888,orange,apple
1,29,29,27.32961444,49.30347234,6.052026047000001,93.53197359,mango,apple
108,38,24,23.41022496,76.43836957,7.442217061,78.82199603,cotton,apple
4,6,7,23.01014302,91.11764246,6.708889665,112.6738296,orange,apple
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,apple
89,57,43,26.91515043,73.19897535,6.998787171,177.22330480000005,jute,apple
83,15,49,28.92705913,91.39356832,6.438008152999999,23.20076686,muskmelon,apple
13,57,25,28.30041493,86.20681554,6.86308576,50.47333854,mungbean,apple
17,134,204,39.04071989,80.18393287,6.499604931,73.88467027,grapes,apple
120,23,28,25.67324193,51.29043632,6.877799264,196.2736367,coffee,apple
40,51,17,28.66086349,86.12194568,6.860602782000001,50.01534317,mungbean,apple
15,11,38,23.12808226,92.68328358,6.630646082999999,109.3930157,pomegranate,apple
87,28,35,26.5602777,57.1621814,6.759211911,152.0616227,coffee,apple
12,20,39,19.86173586,86.19740917,6.026999326,111.0217929,pomegranate,apple
39,78,15,21.35499456,62.60136323,5.925391795,41.78219834,lentil,apple
7,63,24,22.95458237,24.03553105,5.858617867,107.7315386,kidneybeans,apple
38,60,20,29.84823072,60.63872613,7.491217102,46.80452595,lentil,apple
114,8,50,24.74631269,88.30866319,6.581587932000001,57.95826144,watermelon,apple
35,55,22,30.88883074,52.62696801,8.634929739,55.51932414,mothbeans,apple
14,67,22,23.82576704,24.75485098,5.624690247999999,84.64143632,kidneybeans,apple
0,67,22,29.82112112,69.4073209,6.5937983870000005,51.56461082,lentil,apple
16,75,21,18.50692825,23.61670065,5.679224346,87.05132890000002,kidneybeans,apple
110,14,51,27.02415146,91.66737633,6.085444691,21.26034986,muskmelon,apple
110,39,25,22.60612115,77.34264002,7.208795456,75.13617229,cotton,apple
104,23,47,26.98212846,86.70068316,6.770434148,42.91292205,watermelon,apple
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,pigeonpeas,apple
31,53,16,28.7420098,85.81675947,6.452006451,48.54598575,mungbean,apple
14,22,9,17.24944623,91.13772765,6.543191814,112.50905159999998,orange,apple
100,46,18,24.18586246,76.04203958,6.4316895060000006,69.08056728,cotton,apple
20,28,26,26.37978453,91.49882979,5.547594847,167.0470997,coconut,apple
101,92,45,28.22776705,80.64303840000002,5.758054257,98.00403016,banana,apple
123,50,16,23.04920461,75.53835214,6.498052108,70.65644296,cotton,apple
4,61,21,24.84063998,60.09116626,6.75020529,48.77790371,lentil,apple
20,68,23,25.54960633,63.95425534,7.707332484,63.1830529,blackgram,apple
34,60,16,31.35730791,64.24992106,7.322555222999999,63.85668948,blackgram,apple
6,123,203,12.7567962,81.62497448,6.130310493,66.77844567,grapes,apple
28,80,17,19.62207826,18.67170854,5.809419584,144.1567454,kidneybeans,apple
16,8,9,24.60297538,91.28408653,7.601189842999999,111.2948115,orange,apple
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,rice,apple
25,68,19,29.39982732,64.25510719,7.1084501210000015,67.47677295,blackgram,apple
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice,apple
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize,apple
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,chickpea,apple
16,10,41,24.77464458,85.63608688,6.738993954,105.7595811,pomegranate,apple
66,69,47,23.69212243,93.61055571,6.912299695,87.53393983,papaya,apple
82,77,46,28.9470467,82.1888998,5.901100841,95.83016448,banana,apple
41,62,15,29.38400259,64.14928485,7.358974541,65.24194361,blackgram,apple
8,23,38,19.30106297,87.1775172,7.005410734,105.4766591,pomegranate,apple
53,67,17,31.77681682,69.01852894,7.296972161,61.46892873,blackgram,apple
37,24,13,19.14381903,90.71037456,7.8546243,108.0230792,orange,apple
38,36,21,28.02952623,84.8845732,6.5563729660000005,36.12042927,mungbean,apple
10,5,42,20.24104904,91.08706822,6.887005997,109.2537734,pomegranate,apple
108,46,17,24.3017998,84.87668973,6.93221485,65.0247867,cotton,apple
22,26,38,22.92052307,85.12912161,6.988035315,110.2437841,pomegranate,apple
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,apple
98,26,52,27.33897716,90.69759008,6.150090898999999,28.69113835,muskmelon,apple
39,57,19,29.32379604,45.93248374,6.421748487,165.4113371,pigeonpeas,apple
116,36,25,27.57847581,58.52534263,6.172090205,156.6810374,coffee,apple
35,72,21,34.03619494,64.28791388,7.741418772,66.85510868,blackgram,apple
69,47,40,25.37122686,76.2403666,6.130136384,183.8270791,jute,apple
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize,apple
31,56,23,31.46846241,35.39454002,5.661826398,174.5723999,pigeonpeas,apple
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea,apple
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize,apple
95,57,41,23.24925555,73.65346838,6.434610995,184.7674863,jute,apple
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize,apple
14,5,36,24.92639065,85.19098079,5.832525853,104.7693804,pomegranate,apple
118,13,54,24.41311871,89.81574032,6.039584629,44.07843475,watermelon,apple
14,57,15,29.8757015,83.14796296,6.623438282,40.12044158,mungbean,apple
6,63,23,26.01630259,49.94704718,5.906596905,160.33374469999995,pigeonpeas,apple
91,41,37,24.48556447,83.20630007,6.132570522999999,192.2316221,jute,apple
99,29,55,29.19378695,91.46241065,6.660954816,26.48240255,muskmelon,apple
